keyword_ascii,scholar_query_ascii,google_scholar_url_ascii,formal_branch,formal_scope,field,subfield,sub_subfield,node_level,source_tag,source_code,source_title
General and overarching topics; collections,General and overarching topics; collections 00-XX MSC2020,https://scholar.google.com/scholar?q=General%20and%20overarching%20topics%3B%20collections%2000-XX%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,,,field,MSC2020:00-XX,00-XX,General and overarching topics; collections
"Introductory exposition (textbooks, tutorial papers, etc.) pertaining to mathematics in general","Introductory exposition (textbooks, tutorial papers, etc.) pertaining to mathematics in general General and overarching topics; collections 00-01 MSC2020",https://scholar.google.com/scholar?q=Introductory%20exposition%20(textbooks%2C%20tutorial%20papers%2C%20etc.)%20pertaining%20to%20mathematics%20in%20general%20General%20and%20overarching%20topics%3B%20collections%2000-01%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,"Introductory exposition (textbooks, tutorial papers, etc.) pertaining to mathematics in general",,subfield,MSC2020:00-01,00-01,"Introductory exposition (textbooks, tutorial papers, etc.) pertaining to mathematics in general"
"Research exposition (monographs, survey articles) pertaining to mathematics in general","Research exposition (monographs, survey articles) pertaining to mathematics in general General and overarching topics; collections 00-02 MSC2020",https://scholar.google.com/scholar?q=Research%20exposition%20(monographs%2C%20survey%20articles)%20pertaining%20to%20mathematics%20in%20general%20General%20and%20overarching%20topics%3B%20collections%2000-02%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,"Research exposition (monographs, survey articles) pertaining to mathematics in general",,subfield,MSC2020:00-02,00-02,"Research exposition (monographs, survey articles) pertaining to mathematics in general"
General and miscellaneous specific topics,General and miscellaneous specific topics General and overarching topics; collections 00Axx MSC2020,https://scholar.google.com/scholar?q=General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000Axx%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,,subfield,MSC2020:00Axx,00Axx,General and miscellaneous specific topics
Mathematics in general,Mathematics in general General and miscellaneous specific topics General and overarching topics; collections 00A05 MSC2020,https://scholar.google.com/scholar?q=Mathematics%20in%20general%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A05%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,Mathematics in general,sub_subfield,MSC2020:00A05,00A05,Mathematics in general
"Mathematics for nonmathematicians (engineering, social sciences, etc.)","Mathematics for nonmathematicians (engineering, social sciences, etc.) General and miscellaneous specific topics General and overarching topics; collections 00A06 MSC2020",https://scholar.google.com/scholar?q=Mathematics%20for%20nonmathematicians%20(engineering%2C%20social%20sciences%2C%20etc.)%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A06%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,"Mathematics for nonmathematicians (engineering, social sciences, etc.)",sub_subfield,MSC2020:00A06,00A06,"Mathematics for nonmathematicians (engineering, social sciences, etc.)"
Problem books,Problem books General and miscellaneous specific topics General and overarching topics; collections 00A07 MSC2020,https://scholar.google.com/scholar?q=Problem%20books%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A07%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,"Problem books {For open problems, see 00A27}",sub_subfield,MSC2020:00A07,00A07,"Problem books {For open problems, see 00A27}"
Recreational mathematics,Recreational mathematics General and miscellaneous specific topics General and overarching topics; collections 00A08 MSC2020,https://scholar.google.com/scholar?q=Recreational%20mathematics%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A08%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,Recreational mathematics,sub_subfield,MSC2020:00A08,00A08,Recreational mathematics
Popularization of mathematics,Popularization of mathematics General and miscellaneous specific topics General and overarching topics; collections 00A09 MSC2020,https://scholar.google.com/scholar?q=Popularization%20of%20mathematics%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A09%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,Popularization of mathematics,sub_subfield,MSC2020:00A09,00A09,Popularization of mathematics
Bibliographies for mathematics in general,Bibliographies for mathematics in general General and miscellaneous specific topics General and overarching topics; collections 00A15 MSC2020,https://scholar.google.com/scholar?q=Bibliographies%20for%20mathematics%20in%20general%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A15%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,Bibliographies for mathematics in general [See also 01A70 and the classification number –00 in the other sections],sub_subfield,MSC2020:00A15,00A15,Bibliographies for mathematics in general [See also 01A70 and the classification number –00 in the other sections]
External book reviews,External book reviews General and miscellaneous specific topics General and overarching topics; collections 00A17 MSC2020,https://scholar.google.com/scholar?q=External%20book%20reviews%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A17%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,External book reviews,sub_subfield,MSC2020:00A17,00A17,External book reviews
Dictionaries and other general reference works,Dictionaries and other general reference works General and miscellaneous specific topics General and overarching topics; collections 00A20 MSC2020,https://scholar.google.com/scholar?q=Dictionaries%20and%20other%20general%20reference%20works%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A20%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,Dictionaries and other general reference works [See also the classification number –00 in the other sections],sub_subfield,MSC2020:00A20,00A20,Dictionaries and other general reference works [See also the classification number –00 in the other sections]
Formularies,Formularies General and miscellaneous specific topics General and overarching topics; collections 00A22 MSC2020,https://scholar.google.com/scholar?q=Formularies%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A22%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,Formularies,sub_subfield,MSC2020:00A22,00A22,Formularies
Lists of open problems,Lists of open problems General and miscellaneous specific topics General and overarching topics; collections 00A27 MSC2020,https://scholar.google.com/scholar?q=Lists%20of%20open%20problems%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A27%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,Lists of open problems,sub_subfield,MSC2020:00A27,00A27,Lists of open problems
Philosophy of mathematics,Philosophy of mathematics General and miscellaneous specific topics General and overarching topics; collections 00A30 MSC2020,https://scholar.google.com/scholar?q=Philosophy%20of%20mathematics%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A30%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,Philosophy of mathematics [See also 03A05],sub_subfield,MSC2020:00A30,00A30,Philosophy of mathematics [See also 03A05]
Methodology of mathematics,Methodology of mathematics General and miscellaneous specific topics General and overarching topics; collections 00A35 MSC2020,https://scholar.google.com/scholar?q=Methodology%20of%20mathematics%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A35%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,"Methodology of mathematics {For mathematics education, see 97-XX}",sub_subfield,MSC2020:00A35,00A35,"Methodology of mathematics {For mathematics education, see 97-XX}"
Mathematics and literature,Mathematics and literature General and miscellaneous specific topics General and overarching topics; collections 00A64 MSC2020,https://scholar.google.com/scholar?q=Mathematics%20and%20literature%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A64%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,Mathematics and literature,sub_subfield,MSC2020:00A64,00A64,Mathematics and literature
Mathematics and music,Mathematics and music General and miscellaneous specific topics General and overarching topics; collections 00A65 MSC2020,https://scholar.google.com/scholar?q=Mathematics%20and%20music%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A65%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,Mathematics and music,sub_subfield,MSC2020:00A65,00A65,Mathematics and music
Mathematics and visual arts,Mathematics and visual arts General and miscellaneous specific topics General and overarching topics; collections 00A66 MSC2020,https://scholar.google.com/scholar?q=Mathematics%20and%20visual%20arts%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A66%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,Mathematics and visual arts,sub_subfield,MSC2020:00A66,00A66,Mathematics and visual arts
