keyword_ascii,scholar_query_ascii,google_scholar_url_ascii,occurrences,formal_branches,formal_scopes,fields,source_tags,source_codes,source_titles
"""P -minimal"" and ""P -closed"" spaces","""P -minimal"" and ""P -closed"" spaces",https://scholar.google.com/scholar?q=%22P%20-minimal%22%20and%20%22P%20-closed%22%20spaces,1,Mathematics,core,"General topology {For the topology of manifolds of all dimensions, see 57Nxx}",MSC2020:54D25,54D25,“P -minimal” and “P -closed” spaces
"""Super"" (or ""skew"") structure","""Super"" (or ""skew"") structure",https://scholar.google.com/scholar?q=%22Super%22%20(or%20%22skew%22)%20structure,1,Mathematics,core,"Associative rings and algebras {For the commutative case, see 13-XX}",MSC2020:16W55,16W55,"“Super” (or “skew”) structure [See also 17A70, 17Bxx, 17C70] {For exterior algebras, see 15A75; for Clifford algebras, see 11E88, 15A66}"
"(infinity, 1)-categories (quasi-categories, Segal spaces, etc.); infinity-topoi, stable infinity-categories","(infinity, 1)-categories (quasi-categories, Segal spaces, etc.); infinity-topoi, stable infinity-categories",https://scholar.google.com/scholar?q=(infinity%2C%201)-categories%20(quasi-categories%2C%20Segal%20spaces%2C%20etc.)%3B%20infinity-topoi%2C%20stable%20infinity-categories,1,Mathematics,core,"Category theory; homological algebra {For commutative rings, see 13Dxx; for associative rings, see 16Exx; for groups, see 20Jxx; for topological groups and related structures, see 57Txx; for algebraic topology, see also 55Nxx, 55Uxx}",MSC2020:18N60,18N60,"(∞, 1)-categories (quasi-categories, Segal spaces, etc.); ∞-topoi, stable ∞-categories [See also 55U35, 55U40]"
"(infinity, n)-categories and (infinity, infinity)-categories","(infinity, n)-categories and (infinity, infinity)-categories",https://scholar.google.com/scholar?q=(infinity%2C%20n)-categories%20and%20(infinity%2C%20infinity)-categories,1,Mathematics,core,"Category theory; homological algebra {For commutative rings, see 13Dxx; for associative rings, see 16Exx; for groups, see 20Jxx; for topological groups and related structures, see 57Txx; for algebraic topology, see also 55Nxx, 55Uxx}",MSC2020:18N65,18N65,"(∞, n)-categories and (∞, ∞)-categories"
"(Co)homology of commutative rings and algebras (e.g., Hochschild, Andre-Quillen, cyclic, dihedral, etc.)","(Co)homology of commutative rings and algebras (e.g., Hochschild, Andre-Quillen, cyclic, dihedral, etc.)",https://scholar.google.com/scholar?q=(Co)homology%20of%20commutative%20rings%20and%20algebras%20(e.g.%2C%20Hochschild%2C%20Andre-Quillen%2C%20cyclic%2C%20dihedral%2C%20etc.),1,Mathematics,core,Commutative algebra,MSC2020:13D03,13D03,"(Co)homology of commutative rings and algebras (e.g., Hochschild, Andr´e-Quillen, cyclic, dihedral, etc.)"
"(Co)homology of rings and associative algebras (e.g., Hochschild, cyclic, dihedral, etc.)","(Co)homology of rings and associative algebras (e.g., Hochschild, cyclic, dihedral, etc.)",https://scholar.google.com/scholar?q=(Co)homology%20of%20rings%20and%20associative%20algebras%20(e.g.%2C%20Hochschild%2C%20cyclic%2C%20dihedral%2C%20etc.),1,Mathematics,core,"Associative rings and algebras {For the commutative case, see 13-XX}",MSC2020:16E40,16E40,"(Co)homology of rings and associative algebras (e.g., Hochschild, cyclic, dihedral, etc.)"
(Co)homology theory in algebraic geometry,(Co)homology theory in algebraic geometry,https://scholar.google.com/scholar?q=(Co)homology%20theory%20in%20algebraic%20geometry,1,Mathematics,core,Algebraic geometry,MSC2020:14Fxx,14Fxx,(Co)homology theory in algebraic geometry [See also 13Dxx]
(Equivariant) Chow groups and rings; motives,(Equivariant) Chow groups and rings; motives,https://scholar.google.com/scholar?q=(Equivariant)%20Chow%20groups%20and%20rings%3B%20motives,1,Mathematics,core,Algebraic geometry,MSC2020:14C15,14C15,(Equivariant) Chow groups and rings; motives
(Generalized) eigenfunction expansions of linear operators; rigged Hilbert spaces,(Generalized) eigenfunction expansions of linear operators; rigged Hilbert spaces,https://scholar.google.com/scholar?q=(Generalized)%20eigenfunction%20expansions%20of%20linear%20operators%3B%20rigged%20Hilbert%20spaces,1,Mathematics,core,Operator theory,MSC2020:47A70,47A70,(Generalized) eigenfunction expansions of linear operators; rigged Hilbert spaces
(non-Lie) Hom algebras and topics,(non-Lie) Hom algebras and topics,https://scholar.google.com/scholar?q=(non-Lie)%20Hom%20algebras%20and%20topics,1,Mathematics,core,Nonassociative rings and algebras,MSC2020:17D30,17D30,(non-Lie) Hom algebras and topics
